"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"HF.STA.OB15.FE.ZS.Q5","","Prevalence of obesity, female, BMI > 30 (% of population 15-49): Q5 (highest)","","Percentage of females aged 15-49 with BMI above 30 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.FE.ZS","","Prevalence of obesity, female, BMI > 30 (% of population 18+)","","Percentage of females aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.FE.ZS.Q1","","Prevalence of obesity, female, BMI > 30 (% of population 18+): Q1 (lowest)","","Percentage of females aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.FE.ZS.Q2","","Prevalence of obesity, female, BMI > 30 (% of population 18+): Q2","","Percentage of females aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.FE.ZS.Q3","","Prevalence of obesity, female, BMI > 30 (% of population 18+): Q3","","Percentage of females aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.FE.ZS.Q4","","Prevalence of obesity, female, BMI > 30 (% of population 18+): Q4","","Percentage of females aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.FE.ZS.Q5","","Prevalence of obesity, female, BMI > 30 (% of population 18+): Q5 (highest)","","Percentage of females aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.MA.ZS","","Prevalence of obesity, male, BMI > 30 (% of population 18+)","","Percentage of males aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.MA.ZS.Q1","","Prevalence of obesity, male, BMI > 30 (% of population 18+): Q1 (lowest)","","Percentage of males aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.MA.ZS.Q2","","Prevalence of obesity, male, BMI > 30 (% of population 18+): Q2","","Percentage of males aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.MA.ZS.Q3","","Prevalence of obesity, male, BMI > 30 (% of population 18+): Q3","","Percentage of males aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.MA.ZS.Q4","","Prevalence of obesity, male, BMI > 30 (% of population 18+): Q4","","Percentage of males aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.MA.ZS.Q5","","Prevalence of obesity, male, BMI > 30 (% of population 18+): Q5 (highest)","","Percentage of males aged 18 and older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.ZS","","Prevalence of obesity, BMI > 30 (% of population 18+)","","Percentage of population aged 18 or older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.ZS.Q1","","Prevalence of obesity, BMI > 30 (% of population 18+): Q1 (lowest)","","Percentage of population aged 18 or older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.ZS.Q2","","Prevalence of obesity, BMI > 30 (% of population 18+): Q2","","Percentage of population aged 18 or older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.ZS.Q3","","Prevalence of obesity, BMI > 30 (% of population 18+): Q3","","Percentage of population aged 18 or older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.ZS.Q4","","Prevalence of obesity, BMI > 30 (% of population 18+): Q4","","Percentage of population aged 18 or older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OB18.ZS.Q5","","Prevalence of obesity, BMI > 30 (% of population 18+): Q5 (highest)","","Percentage of population aged 18 or older with BMI above 30","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ORTH.ZS","","Diarrhea treatment (% of children under 5 who received ORS)","","Percentage of children under 5 with diarrhea in the 2 weeks before the survey who were given oral rehydration salts (ORS)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ORTH.ZS.Q1","","Diarrhea treatment (% of children under 5 who received ORS): Q1 (lowest)","","Percentage of children under 5 with diarrhea in the 2 weeks before the survey who were given oral rehydration salts (ORS)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ORTH.ZS.Q2","","Diarrhea treatment (% of children under 5 who received ORS): Q2","","Percentage of children under 5 with diarrhea in the 2 weeks before the survey who were given oral rehydration salts (ORS)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ORTH.ZS.Q3","","Diarrhea treatment (% of children under 5 who received ORS): Q3","","Percentage of children under 5 with diarrhea in the 2 weeks before the survey who were given oral rehydration salts (ORS)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ORTH.ZS.Q4","","Diarrhea treatment (% of children under 5 who received ORS): Q4","","Percentage of children under 5 with diarrhea in the 2 weeks before the survey who were given oral rehydration salts (ORS)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.ORTH.ZS.Q5","","Diarrhea treatment (% of children under 5 who received ORS): Q5 (highest)","","Percentage of children under 5 with diarrhea in the 2 weeks before the survey who were given oral rehydration salts (ORS)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW15.FE.ZS","","Prevalence of overweight, female, BMI > 25 (% of population ages 15-49)","","Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW15.FE.ZS.Q1","","Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q1 (lowest)","","Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW15.FE.ZS.Q2","","Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q2","","Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW15.FE.ZS.Q3","","Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q3","","Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW15.FE.ZS.Q4","","Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q4","","Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW15.FE.ZS.Q5","","Prevalence of overweight, female, BMI > 25 (% of population ages 15-49): Q5 (highest)","","Percentage of female population aged 15-49 with BMI above 25 (excludes currently pregnant women and women having given birth in the three months preceding the survey)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.FE.ZS","","Prevalence of overweight, female, BMI > 25 (% of population 18+)","","Percentage of female population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.FE.ZS.Q1","","Prevalence of overweight, female, BMI > 25 (% of population 18+): Q1 (lowest)","","Percentage of female population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.FE.ZS.Q2","","Prevalence of overweight, female, BMI > 25 (% of population 18+): Q2","","Percentage of female population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.FE.ZS.Q3","","Prevalence of overweight, female, BMI > 25 (% of population 18+): Q3","","Percentage of female population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.FE.ZS.Q4","","Prevalence of overweight, female, BMI > 25 (% of population 18+): Q4","","Percentage of female population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.FE.ZS.Q5","","Prevalence of overweight, female, BMI > 25 (% of population 18+): Q5 (highest)","","Percentage of female population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.MA.ZS","","Prevalence of overweight, male, BMI > 25 (% of population 18+)","","Percentage of male population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.MA.ZS.Q1","","Prevalence of overweight, male, BMI > 25 (% of population 18+): Q1 (lowest)","","Percentage of male population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.MA.ZS.Q2","","Prevalence of overweight, male, BMI > 25 (% of population 18+): Q2","","Percentage of male population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.MA.ZS.Q3","","Prevalence of overweight, male, BMI > 25 (% of population 18+): Q3","","Percentage of male population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.MA.ZS.Q4","","Prevalence of overweight, male, BMI > 25 (% of population 18+): Q4","","Percentage of male population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.MA.ZS.Q5","","Prevalence of overweight, male, BMI > 25 (% of population 18+): Q5 (highest)","","Percentage of male population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.ZS","","Prevalence of overweight, BMI > 25 (% of population 18+)","","Percentage of population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.ZS.Q1","","Prevalence of overweight, BMI > 25 (% of population 18+): Q1 (lowest)","","Percentage of population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.ZS.Q2","","Prevalence of overweight, BMI > 25 (% of population 18+): Q2","","Percentage of population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.ZS.Q3","","Prevalence of overweight, BMI > 25 (% of population 18+): Q3","","Percentage of population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.ZS.Q4","","Prevalence of overweight, BMI > 25 (% of population 18+): Q4","","Percentage of population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.OW18.ZS.Q5","","Prevalence of overweight, BMI > 25 (% of population 18+): Q5 (highest)","","Percentage of population aged 18 or older with BMI above 25","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.STNT.ZS","","Prevalence of stunting, height for age (% of children under 5)","","Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.STNT.ZS.Q1","","Prevalence of stunting, height for age (% of children under 5): Q1 (lowest)","","Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.STNT.ZS.Q2","","Prevalence of stunting, height for age (% of children under 5): Q2","","Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.STNT.ZS.Q3","","Prevalence of stunting, height for age (% of children under 5): Q3","","Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.STNT.ZS.Q4","","Prevalence of stunting, height for age (% of children under 5): Q4","","Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.STA.STNT.ZS.Q5","","Prevalence of stunting, height for age (% of children under 5): Q5 (highest)","","Percentage of children under 5 with a Height-for-Age z-score <-2 standard deviations from the reference median (z-score calculated using WHO 2006 Child Growth Standards)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.CONS.ZS","","Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%)","","Percentage of population pushed below 60% of median consumption by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.CONS.ZS.Q1","","Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%): Q1 (lowest)","","Percentage of population pushed below 60% of median consumption by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.CONS.ZS.Q2","","Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%): Q2","","Percentage of population pushed below 60% of median consumption by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.CONS.ZS.Q3","","Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%): Q3","","Percentage of population pushed below 60% of median consumption by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.CONS.ZS.Q4","","Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%): Q4","","Percentage of population pushed below 60% of median consumption by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.CONS.ZS.Q5","","Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%): Q5 (highest)","","Percentage of population pushed below 60% of median consumption by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP1.CG","","Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $1.90 poverty line","","Change (in international $) in poverty gap due to out-of-pocket health spending using $1.90 poverty line, defined as 1.9 times the difference between the per capita poverty gap for consumption (or income) net of out-of-pocket expenditures and the per capita poverty gap for consumption (or income) gross of out-of-pocket expenditures","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP1.ZS","","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","","Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP1.ZS.Q1","","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q1 (lowest)","","Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP1.ZS.Q2","","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q2","","Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP1.ZS.Q3","","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q3","","Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP1.ZS.Q4","","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q4","","Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP1.ZS.Q5","","Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q5 (highest)","","Percentage of population pushed below 1.90 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP2.CG","","Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $3.20 poverty line","","Change (in international $) in poverty gap due to out-of-pocket health spending using $3.20 poverty line, defined as 3.2 times the difference between the per capita poverty gap for consumption (or income) net of out-of-pocket expenditures and the per capita poverty gap for consumption (or income) gross of out-of-pocket expenditures","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP2.ZS","","Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","","Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP2.ZS.Q1","","Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q1 (lowest)","","Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP2.ZS.Q2","","Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q2","","Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP2.ZS.Q3","","Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q3","","Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP2.ZS.Q4","","Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q4","","Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP2.ZS.Q5","","Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q5 (highest)","","Percentage of population pushed below 3.20 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP3.CG","","Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line","","Change (in international $) in poverty gap due to out-of-pocket health spending using $5.50 poverty line, defined as 5.5 times the difference between the per capita poverty gap for consumption (or income) net of out-of-pocket expenditures and the per capita poverty gap for consumption (or income) gross of out-of-pocket expenditures","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP3.ZS","","Proportion of population pushed below the $5.50 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","","Percentage of population pushed below 5.50 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP3.ZS.Q1","","Proportion of population pushed below the $5.50 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q1 (lowest)","","Percentage of population pushed below 5.50 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP3.ZS.Q2","","Proportion of population pushed below the $5.50 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q2","","Percentage of population pushed below 5.50 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP3.ZS.Q3","","Proportion of population pushed below the $5.50 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q3","","Percentage of population pushed below 5.50 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP3.ZS.Q4","","Proportion of population pushed below the $5.50 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q4","","Percentage of population pushed below 5.50 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP3.ZS.Q5","","Proportion of population pushed below the $5.50 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q5 (highest)","","Percentage of population pushed below 5.50 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP4.CG","","Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $21.70 poverty line","","Change (in international $) in poverty gap due to out-of-pocket health spending using $21.70 poverty line, defined as 21.7 times the difference between the per capita poverty gap for consumption (or income) net of out-of-pocket expenditures and the per capita poverty gap for consumption (or income) gross of out-of-pocket expenditures","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP4.ZS","","Proportion of population pushed below the $21.70 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%)","","Percentage of population pushed below 21.70 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP4.ZS.Q1","","Proportion of population pushed below the $21.70 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q1 (lowest)","","Percentage of population pushed below 21.70 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP4.ZS.Q2","","Proportion of population pushed below the $21.70 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q2","","Percentage of population pushed below 21.70 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP4.ZS.Q3","","Proportion of population pushed below the $21.70 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q3","","Percentage of population pushed below 21.70 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP4.ZS.Q4","","Proportion of population pushed below the $21.70 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q4","","Percentage of population pushed below 21.70 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOP4.ZS.Q5","","Proportion of population pushed below the $21.70 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%): Q5 (highest)","","Percentage of population pushed below 21.70 international $ per day consumption poverty line by out-of-pocket health spending","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOPX.ZS","","Proportion of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line (%)","","Percentage of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOPX.ZS.Q1","","Proportion of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line (%)               : Q1 (lowest)","","Percentage of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOPX.ZS.Q2","","Proportion of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line (%)               : Q2","","Percentage of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOPX.ZS.Q3","","Proportion of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line (%)               : Q3","","Percentage of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.UHC.NOPX.ZS.Q4","","Proportion of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line (%)               : Q4","","Percentage of population pushed by out-of-pocket health care expenditure below the societal poverty line, defined as the higher of the $1.90 ($ 2011 PPP) poverty line and a 50% of median consumption poverty line","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
